Lote,Nome,Contato,Email,Leitura_Setembro,Leitura_Outubro,consumo_bruto,status
P20,Isadora Mendes Cunha, (94) 99876-0001,isadora.cunha@example.com,4575,4939,364,OK
Y18,Gabriela Rocha Pires, (35) 99876-7879,gabriela.pires@example.com,2722,3086,364,OK
M06,Giovanna Sales Pires, (96) 99876-2627,giovanna.pires@example.com,4575,4939,364,OK
N16,Mariana Lima Bezerra, (38) 99876-5657,mariana.bezerra@example.com,4957,5320,363,OK
K17,Antônio Carlos Pires, (90) 98765-9798,antonio.pires@example.com,2941,3303,362,OK
E07,Miguel Ângelo Cunha, (86) 98765-6767,miguel.cunha@example.com,2941,3303,362,OK
X17,Alexandre César Pires, (68) 98765-5758,alexandre.pires@example.com,2941,3303,362,OK
D09,Enzo Emanuel Silva, (67) 98765-4949,enzo.silva@example.com,1086,1447,361,OK
G08,Isabella Vitória Lima, (93) 99876-0809,isabella.lima@example.com,1878,2239,361,OK
N15,Rafaela Alves Cunha, (80) 98765-5556,rafaela.cunha@example.com,1086,1447,361,OK
D05,Felipe Eduardo Sales, (46) 98765-4545,felipe.sales@example.com,1086,1447,361,OK
N19,Fernando Xavier Sales, (52) 98765-5960,fernando.sales@example.com,1086,1447,361,OK
T02,Lorena Martins Bezerra, (44) 99876-6263,lorena.bezerra@example.com,4340,4700,360,OK
O02,Gabriela Rocha Pires, (35) 99876-6263,gabriela.pires@example.com,4340,4700,360,OK
G03,Enzo Emanuel Pires, (67) 98765-0304,enzo.pires@example.com,1564,1924,360,OK
R13,Arthur Gabriel Cunha, (65) 98765-3334,arthur.cunha@example.com,4594,4954,360,OK
J06,Sophia Mendes Santos, (75) 99876-6667,sophia.santos@example.com,1839,2198,359,OK
Q15,Felipe Eduardo Cunha, (46) 98765-1516,felipe.cunha@example.com,1529,1888,359,OK
E05,Caio Henrique Dutra, (88) 98765-6565,caio.dutra@example.com,1529,1888,359,OK
P19,Cauã Miguel Bezerra, (66) 98765-9900,caua.bezerra@example.com,4001,4360,359,OK
W06,Heloísa Cunha Cunha, (57) 99876-2627,heloisa.cunha@example.com,1839,2198,359,OK
Y11,Rafaela Alves Cunha, (80) 98765-7172,rafaela.cunha@example.com,3219,3578,359,OK
R08,Sophia Mendes Pires, (75) 99876-2829,sophia.pires@example.com,4856,5215,359,OK
D20,Emanuelly Luiza Barros, (69) 99876-6060,emanuelly.barros@example.com,3967,4326,359,OK
D14,Isabella Vitória Santos, (93) 99876-5454,isabella.santos@example.com,1799,2158,359,OK
M10,Vitória Régia Leite, (95) 99876-3031,vitoria.leite@example.com,2505,2864,359,OK
U18,Letícia Lima Bezerra, (99) 99876-9899,leticia.bezerra@example.com,4856,5215,359,OK
L11,Enzo Emanuel Lima, (67) 98765-1112,enzo.lima@example.com,3219,3578,359,OK
W19,André Luís Pires, (82) 98765-3940,andre.pires@example.com,4001,4360,359,OK
J19,Henrique Pires Lima, (77) 98765-7980,henrique.lima@example.com,4001,4360,359,OK
H18,Isadora Mendes Martins, (94) 99876-3839,isadora.martins@example.com,4856,5215,359,OK
T16,Laura Júlia Pires, (83) 99876-7677,laura.pires@example.com,4581,4939,358,OK
O05,Enzo Emanuel Pires, (67) 98765-6566,enzo.pires@example.com,3515,3873,358,OK
L05,Fernando Xavier Martins, (52) 98765-0506,fernando.martins@example.com,1121,1479,358,OK
L16,Isabella Vitória Lima, (93) 99876-1617,isabella.lima@example.com,4581,4939,358,OK
G15,André Luís Pires, (82) 98765-1516,andre.pires@example.com,3515,3873,358,OK
Y16,Carolina Mendes Bezerra, (60) 99876-7677,carolina.bezerra@example.com,4581,4939,358,OK
Y05,Nicolas Oliveira Cunha, (90) 98765-6566,nicolas.cunha@example.com,1121,1479,358,OK
S11,Pietro Ferreira Cunha, (84) 98765-5152,pietro.cunha@example.com,3515,3873,358,OK
I11,Fernando Xavier Cunha, (52) 98765-5152,fernando.cunha@example.com,2352,2709,357,OK
V11,Nicolas Oliveira Cunha, (90) 98765-1112,nicolas.cunha@example.com,2352,2709,357,OK
Y08,Evelyn Santos Cunha, (58) 99876-6869,evelyn.cunha@example.com,4432,4789,357,OK
X09,Henrique Pires Bezerra, (77) 98765-4950,henrique.bezerra@example.com,1619,1976,357,OK
L08,Gabriela Rocha Pires, (35) 99876-0809,gabriela.pires@example.com,4432,4789,357,OK
K09,Pietro Ferreira Freitas, (84) 98765-8990,pietro.freitas@example.com,1619,1976,357,OK
V06,Elisa Nunes Pires, (78) 99876-0607,elisa.pires@example.com,2046,2403,357,OK
I06,Lorena Martins Vieira, (44) 99876-4647,lorena.vieira@example.com,2046,2403,357,OK
Q04,Helena Cardoso Pires, (56) 99876-0405,helena.pires@example.com,4432,4789,357,OK
Y13,Bruno Henrique Bezerra, (43) 98765-7374,bruno.bezerra@example.com,1050,1404,354,OK
L13,Ricardo Miguel Pires, (79) 98765-1314,ricardo.pires@example.com,1050,1404,354,OK
N17,Bruno Henrique Pires, (43) 98765-5758,bruno.pires@example.com,2681,3035,354,OK
D07,Davi Lucas Azevedo, (70) 98765-4747,davi.azevedo@example.com,2681,3035,354,OK
E19,Alexandre César Bezerra, (68) 98765-7979,alexandre.bezerra@example.com,1398,1751,353,OK
R15,Caio Henrique Bezerra, (88) 98765-3536,caio.bezerra@example.com,1398,1751,353,OK
U11,Miguel Ângelo Pires, (86) 98765-9192,miguel.pires@example.com,1352,1704,352,OK
F15,Bruno Henrique Costa, (43) 98765-9595,bruno.costa@example.com,1052,1404,352,OK
H11,Eduardo Luís Bezerra, (37) 98765-3132,eduardo.bezerra@example.com,1352,1704,352,OK
T20,Ana Clara Bezerra, (49) 99876-8081,ana.bezerra@example.com,1447,1799,352,OK
T19,Matheus Felipe Pires, (55) 98765-7980,matheus.pires@example.com,1052,1404,352,OK
E16,Sofia Beatriz Souza, (45) 99876-7676,sofia.souza@example.com,1447,1799,352,OK
P09,Leonardo Xavier Pires, (87) 98765-8990,leonardo.pires@example.com,1052,1404,352,OK
Q05,Antônio Carlos Bezerra, (90) 98765-0506,antonio.bezerra@example.com,4603,4954,351,OK
U05,André Luís Pires, (82) 98765-8586,andre.pires@example.com,4603,4954,351,OK
T11,Davi Lucas Bezerra, (70) 98765-7172,davi.bezerra@example.com,4603,4954,351,OK
A17,Artur Henrique Farias, (91) 98765-4444,artur.farias@example.com,4603,4954,351,OK
F08,Helena Cardoso Leite, (56) 99876-8888,helena.leite@example.com,3091,3442,351,OK
U14,Luana Caroline Pires, (73) 99876-9495,luana.pires@example.com,4438,4789,351,OK
I04,Evelyn Santos Bezerra, (58) 99876-4445,evelyn.bezerra@example.com,2719,3070,351,OK
H14,Beatriz Helena Pires, (64) 99876-3435,beatriz.pires@example.com,4438,4789,351,OK
V14,Evelyn Santos Cunha, (58) 99876-1415,evelyn.cunha@example.com,1366,1717,351,OK
V04,Beatriz Helena Bezerra, (64) 99876-0405,beatriz.bezerra@example.com,2719,3070,351,OK
G14,Emanuelly Luiza Ramos, (69) 99876-1415,emanuelly.ramos@example.com,1888,2239,351,OK
S14,Isadora Mendes Cunha, (94) 99876-5455,isadora.cunha@example.com,1888,2239,351,OK
J04,Ana Clara Bezerra, (49) 99876-6465,ana.bezerra@example.com,1889,2239,350,OK
M16,Letícia Lima Ramos, (99) 99876-3637,leticia.ramos@example.com,1087,1437,350,OK
C10,Isadora Neta Mendes, (94) 99876-3030,isadora.mendes@example.com,3291,3641,350,OK
F13,Rafaela Alves Barros, (80) 98765-9393,rafaela.barros@example.com,1087,1437,350,OK
W04,Gabriela Rocha Pires, (35) 99876-2425,gabriela.pires@example.com,1889,2239,350,OK
B17,Henrique Costa Bezerra, (77) 98765-1717,henrique.bezerra@example.com,1430,1780,350,OK
D10,Luiza Fernanda Pires, (42) 99876-5050,luiza.pires@example.com,1326,1675,349,OK
R20,Luana Caroline Pires, (73) 99876-4041,luana.pires@example.com,1089,1437,348,OK
A11,Felipe Martins Leite, (16) 98765-1111,felipe.leite@example.com,4606,4954,348,OK
F16,Amanda Pires Dutra, (28) 99876-9696,amanda.dutra@example.com,1089,1437,348,OK
O16,Emanuelly Luiza Cunha, (69) 99876-7677,emanuelly.cunha@example.com,4606,4954,348,OK
E11,Henrique Pires Leite, (77) 98765-7171,henrique.leite@example.com,2816,3163,347,OK
I15,Davi Lucas Leite, (70) 98765-5556,davi.leite@example.com,3128,3475,347,OK
Y17,Felipe Eduardo Cunha, (46) 98765-7778,felipe.cunha@example.com,2723,3070,347,OK
V15,Lucas Vinícius Pires, (72) 98765-1516,lucas.pires@example.com,3128,3475,347,OK
L17,Matheus Felipe Cunha, (55) 98765-1718,matheus.cunha@example.com,2723,3070,347,OK
P07,Henrique Pires Bezerra, (77) 98765-8788,henrique.bezerra@example.com,3128,3475,347,OK
R11,André Luís Pires, (82) 98765-3132,andre.pires@example.com,2816,3163,347,OK
B01,Elias Miguel Ramos, (55) 98765-0101,elias.ramos@example.com,1739,2085,346,OK
B03,Caio César Guimarães, (34) 98765-0303,caio.guimaraes@example.com,1588,1934,346,OK
T03,Rafaela Alves Cunha, (80) 98765-6364,rafaela.cunha@example.com,1588,1934,346,OK
S20,Evelyn Santos Cunha, (58) 99876-6061,evelyn.cunha@example.com,3632,3978,346,OK
Y03,João Pedro Pires, (80) 98765-6364,joao.pires@example.com,2057,2403,346,OK
M09,Miguel Ângelo Pires, (86) 98765-2930,miguel.pires@example.com,1739,2085,346,OK
L03,Bruno Henrique Pires, (43) 98765-0304,bruno.pires@example.com,2057,2403,346,OK
J03,Matheus Felipe Sales, (55) 98765-6364,matheus.sales@example.com,1588,1934,346,OK
I07,Rafaela Alves Ramos, (80) 98765-4748,rafaela.ramos@example.com,4326,4672,346,OK
A18,Alice Farias Dutra, (67) 99876-3333,alice.dutra@example.com,1717,2063,346,OK
W03,Felipe Eduardo Cunha, (46) 98765-2324,felipe.cunha@example.com,1588,1934,346,OK
G20,Lívia Beatriz Pereira, (93) 99876-2021,livia.pereira@example.com,3632,3978,346,OK
V07,Cauã Miguel Bezerra, (66) 98765-0708,caua.bezerra@example.com,4326,4672,346,OK
N04,Elisa Nunes Cunha, (78) 99876-4445,elisa.cunha@example.com,4326,4672,346,OK
E08,Vitória Régia Almeida, (95) 99876-6868,vitoria.almeida@example.com,4355,4700,345,OK
S13,Cauã Miguel Bezerra, (66) 98765-5354,caua.bezerra@example.com,1373,1717,344,OK
L12,Luiza Fernanda Cunha, (42) 99876-1213,luiza.cunha@example.com,1093,1437,344,OK
Q08,Lorena Martins Bezerra, (44) 99876-0809,lorena.bezerra@example.com,1093,1437,344,OK
J10,Letícia Nunes Leite, (74) 99876-7071,leticia.leite@example.com,1373,1717,344,OK
W10,Laura Júlia Pires, (83) 99876-3031,laura.pires@example.com,1373,1717,344,OK
M03,André Luís Bezerra, (82) 98765-2324,andre.bezerra@example.com,1373,1717,344,OK
N12,Evelyn Santos Cunha, (58) 99876-5253,evelyn.cunha@example.com,1373,1717,344,OK
Y12,Mariana Lima Pires, (38) 99876-7273,mariana.pires@example.com,1093,1437,344,OK
B08,Lívia Gabriela Ferreira, (74) 99876-0808,livia.ferreira@example.com,1373,1717,344,OK
F17,Fernando Xavier Almeida, (52) 98765-9797,fernando.almeida@example.com,4976,5320,344,OK
T14,Luiza Fernanda Bezerra, (42) 99876-7475,luiza.bezerra@example.com,1093,1437,344,OK
L02,Mariana Lima Ramos, (38) 99876-0203,mariana.ramos@example.com,4916,5259,343,OK
C07,Pietro Ferreira Dias, (84) 98765-2727,pietro.dias@example.com,1551,1894,343,OK
P08,Marina Gabriela Cunha, (54) 99876-8889,marina.cunha@example.com,4916,5259,343,OK
Y02,Isadora Mendes Cunha, (94) 99876-6263,isadora.cunha@example.com,4916,5259,343,OK
I01,Nicolas Oliveira Leite, (90) 98765-4142,nicolas.leite@example.com,3659,4001,342,OK
V01,Eduardo Luís Bezerra, (37) 98765-0102,eduardo.bezerra@example.com,3659,4001,342,OK
R05,Matheus Felipe Pires, (55) 98765-2526,matheus.pires@example.com,3101,3442,341,OK
C18,Lorena Martins Sales, (44) 99876-3838,lorena.sales@example.com,4097,4438,341,OK
E13,Leonardo Xavier Barros, (87) 98765-7373,leonardo.barros@example.com,3101,3442,341,OK
R16,Lívia Beatriz Cunha, (93) 99876-3637,livia.cunha@example.com,4097,4438,341,OK
D17,João Pedro Guimarães, (34) 98765-5757,joao.guimaraes@example.com,1486,1826,340,OK
P14,Lara Vitória Cunha, (76) 99876-9495,lara.cunha@example.com,2335,2674,339,OK
D03,Fernando Xavier Melo, (52) 98765-4343,fernando.melo@example.com,3916,4255,339,OK
N13,Lucas Vinícius Sales, (72) 98765-5354,lucas.sales@example.com,3916,4255,339,OK
Q17,Davi Lucas Bezerra, (70) 98765-1718,davi.bezerra@example.com,4904,5243,339,OK
U13,Benjamin Alves Cunha, (89) 98765-9394,benjamin.cunha@example.com,4904,5243,339,OK
H13,Alexandre César Melo, (68) 98765-3334,alexandre.melo@example.com,4904,5243,339,OK
W05,Davi Lucas Bezerra, (70) 98765-2526,davi.bezerra@example.com,1163,1502,339,OK
F14,Mariana Lima Dias, (38) 99876-9494,mariana.dias@example.com,2335,2674,339,OK
M12,Luana Caroline Ramos, (73) 99876-3233,luana.ramos@example.com,4142,4480,338,OK
V05,Pietro Ferreira Cunha, (84) 98765-0506,pietro.cunha@example.com,3731,4069,338,OK
L10,Heloísa Cunha Bezerra, (57) 99876-1011,heloisa.bezerra@example.com,2270,2608,338,OK
F09,Antônio Carlos Sales, (90) 98765-8989,antonio.sales@example.com,1164,1502,338,OK
K10,Elisa Nunes Ramos, (78) 99876-9091,elisa.ramos@example.com,3177,3515,338,OK
X10,Marina Gabriela Cunha, (54) 99876-5051,marina.cunha@example.com,3177,3515,338,OK
Y10,Lorena Martins Bezerra, (44) 99876-7071,lorena.bezerra@example.com,2270,2608,338,OK
R19,Benjamin Alves Cunha, (89) 98765-3940,benjamin.cunha@example.com,1164,1502,338,OK
T12,Heloísa Cunha Cunha, (57) 99876-7273,heloisa.cunha@example.com,2270,2608,338,OK
B18,Marina Sales Rodrigues, (54) 99876-1818,marina.rodrigues@example.com,4877,5215,338,OK
B11,Gabriel Souza Barbosa, (88) 98765-1111,gabriel.barbosa@example.com,3641,3978,337,OK
O01,Felipe Eduardo Ramos, (46) 98765-6162,felipe.ramos@example.com,3641,3978,337,OK
T09,Felipe Eduardo Cunha, (46) 98765-6970,felipe.cunha@example.com,3641,3978,337,OK
G17,Arthur Gabriel Santos, (65) 98765-1718,arthur.santos@example.com,2186,2522,336,OK
J17,Benjamin Alves Santos, (89) 98765-7778,benjamin.santos@example.com,3140,3475,335,OK
W17,Samuel Elias Bezerra, (63) 98765-3738,samuel.bezerra@example.com,3140,3475,335,OK
H19,João Pedro Faria, (80) 98765-3940,joao.faria@example.com,2674,3008,334,OK
B07,Gustavo Henrique Lima, (82) 98765-0707,gustavo.lima@example.com,1751,2085,334,OK
R07,João Pedro Cunha, (34) 98765-2728,joao.cunha@example.com,1751,2085,334,OK
U19,Ricardo Jorge Cunha, (53) 98765-9900,ricardo.cunha@example.com,2674,3008,334,OK
P05,Benjamin Alves Cunha, (89) 98765-8586,benjamin.cunha@example.com,1730,2063,333,OK
J18,Luana Caroline Dutra, (73) 99876-7879,luana.dutra@example.com,1730,2063,333,OK
W18,Emanuelly Luiza Cunha, (69) 99876-3839,emanuelly.cunha@example.com,1730,2063,333,OK
C15,Antônio Carlos Costa, (90) 98765-3535,antonio.costa@example.com,4877,5209,332,OK
J14,Lívia Beatriz Pires, (93) 99876-7475,livia.pires@example.com,1386,1717,331,OK
H10,Sofia Beatriz Pires, (45) 99876-3031,sofia.pires@example.com,4839,5170,331,OK
M02,Emanuelly Luiza Sales, (69) 99876-2223,emanuelly.sales@example.com,1593,1924,331,OK
U10,Lívia Beatriz Cunha, (93) 99876-9091,livia.cunha@example.com,4839,5170,331,OK
W14,Ana Clara Bezerra, (49) 99876-3435,ana.bezerra@example.com,1386,1717,331,OK
B05,Thiago Lima Monteiro, (63) 98765-0505,thiago.monteiro@example.com,4638,4967,329,OK
C11,João Pedro Faria, (80) 98765-3131,joao.faria@example.com,1015,1343,328,OK
S05,Ricardo Jorge Cunha, (53) 98765-4546,ricardo.cunha@example.com,1015,1343,328,OK
Q13,Fernando Xavier Pires, (52) 98765-1314,fernando.pires@example.com,1015,1343,328,OK
P11,Ricardo Jorge Cunha, (53) 98765-9192,ricardo.cunha@example.com,3044,3370,326,OK
A01,Pedro Jorge Farias, (81) 98765-4321,pedro.farias@example.com,3044,3370,326,OK
T05,Bruno Henrique Bezerra, (43) 98765-6566,bruno.bezerra@example.com,3044,3370,326,OK
N05,Cauã Miguel Ramos, (66) 98765-4546,caua.ramos@example.com,4466,4789,323,OK
L07,Felipe Eduardo Ramos, (46) 98765-0708,felipe.ramos@example.com,3152,3475,323,OK
O13,João Pedro Cunha, (34) 98765-7374,joao.cunha@example.com,4466,4789,323,OK
U03,Samuel Elias Bezerra, (63) 98765-8384,samuel.bezerra@example.com,4466,4789,323,OK
Y07,Antônio Carlos Bezerra, (90) 98765-6768,antonio.bezerra@example.com,3152,3475,323,OK
A13,Vinícius Barbosa Morais, (41) 98765-8888,vinicius.morais@example.com,4466,4789,323,OK
I17,Enzo Emanuel Bezerra, (67) 98765-5758,enzo.bezerra@example.com,4383,4700,317,OK
V17,Rafaela Alves Cunha, (80) 98765-1718,rafaela.cunha@example.com,4383,4700,317,OK
A12,Heloísa Rodrigues Sales, (27) 99876-9999,heloisa.sales@example.com,4164,4480,316,OK
U01,João Pedro Cunha, (34) 98765-8182,joao.cunha@example.com,4164,4480,316,OK
C17,Lucas Vinícius Dutra, (72) 98765-3737,lucas.dutra@example.com,1176,1490,314,OK
B15,Benjamin Santos Costa, (89) 98765-1515,benjamin.costa@example.com,1166,1480,314,OK
A09,Enzo Pereira Rocha, (85) 98765-3333,enzo.rocha@example.com,3688,4001,313,OK
A02,Ana Luiza Moreira, (21) 99876-5432,ana.moreira@example.com,4672,4985,313,OK
B09,Davi Lucca Rocha, (65) 98765-0909,davi.rocha@example.com,4848,5161,313,OK
R09,Samuel Elias Bezerra, (63) 98765-2930,samuel.bezerra@example.com,3688,4001,313,OK
C08,Elisa Vitória Melo, (78) 99876-2828,elisa.melo@example.com,2723,3035,312,OK
N08,Yasmin Gabriela Sales, (97) 99876-4849,yasmin.sales@example.com,2997,3303,306,OK
F11,Lucas Vinícius Pereira, (72) 98765-9191,lucas.pereira@example.com,2997,3303,306,OK
A10,Laura Gomes Freitas, (92) 99876-2222,laura.freitas@example.com,2100,2403,303,OK
A08,Isabela Nunes Cunha, (71) 99876-4444,isabela.cunha@example.com,1249,1542,293,OK
A07,Rafael Oliveira Melo, (51) 98765-5555,rafael.melo@example.com,4892,5156,264,OK
P01,Caio Henrique Bezerra, (88) 98765-8182,caio.bezerra@example.com,4892,5156,264,OK
A03,Lucas Gabriel Santos, (47) 98765-1234,lucas.santos@example.com,3481,3717,236,OK
M19,Eduardo Luís Ramos, (37) 98765-3940,eduardo.ramos@example.com,3481,3717,236,OK
A15,Daniel Xavier Bezerra, (62) 98765-6666,daniel.bezerra@example.com,1343,1479,136,OK
Q03,Nicolas Oliveira Cunha, (90) 98765-0304,nicolas.cunha@example.com,1343,1479,136,OK
H02,Vitória Régia Barros, (95) 99876-2223,vitoria.barros@example.com,3392,0,-42,Consumo negativo
E15,Ricardo Jorge Martins, (53) 98765-7575,ricardo.martins@example.com,4594,0,-128,Consumo negativo
F07,Nicolas Oliveira Santos, (90) 98765-8787,nicolas.santos@example.com,3148,0,-140,Consumo negativo
H03,Benjamin Alves Cunha, (89) 98765-2324,benjamin.cunha@example.com,2492,0,-213,Consumo negativo
I03,Antônio Carlos Azevedo, (90) 98765-4344,antonio.azevedo@example.com,1048,0,-1048,Leitura inválida
J05,João Pedro Azevedo, (34) 98765-6566,joao.azevedo@example.com,1163,0,-1163,Leitura inválida
I14,Gabriela Rocha Barros, (35) 99876-5455,gabriela.barros@example.com,1366,0,-1366,Leitura inválida
Q02,Yasmin Gabriela Bezerra, (97) 99876-0203,yasmin.bezerra@example.com,1799,0,-1799,Leitura inválida
R02,Laura Júlia Pires, (83) 99876-2223,laura.pires@example.com,1850,0,-1850,Leitura inválida
B14,Vitória Pires Gomes, (95) 99876-1414,vitoria.gomes@example.com,1968,0,-1981,Leitura inválida
I02,Helena Cardoso Cunha, (56) 99876-4243,helena.cunha@example.com,3086,0,-3086,Leitura inválida
I10,Amanda Pires Silva, (28) 99876-5051,amanda.silva@example.com,3442,0,-3442,Leitura inválida
J02,Isabella Vitória Vieira, (93) 99876-6263,isabella.vieira@example.com,3543,0,-3543,Leitura inválida
I05,Lucas Vinícius Pires, (72) 98765-4546,lucas.pires@example.com,3731,0,-3731,Leitura inválida
C03,Eduardo Luís Ramos, (37) 98765-2323,eduardo.ramos@example.com,4055,0,-4055,Leitura inválida
G01,Davi Lucas Neta, (70) 98765-0102,davi.neta@example.com,4758,0,-4758,Leitura inválida
